title,summary,url,source_name,source_type,published_date,sector,region,organization,organization_id,instrument_vendor,instrument_model,signal_kind,product_family,credibility,relevance,buying_intent,doi,response_deadline,notice_status,first_seen_at,last_seen_at,collector_name
Investigating PI3K Signaling in Metabolite-Mediated Immunosuppression in Ovarian Cancer,"PROJECT SUMMARY High-grade serous ovarian cancer (HGSOC) is the leading subtype of ovarian cancer and accounts for the majority of disease-related mortality. These poor clinical outcomes are attributed to late-stage diagnosis, frequent recurrence, and limited therapeutic durability, reinforced by a markedly aberrant molecular landscape. Homologous recombination deficiency (HRD) has emerged as an important clinical biomarker, guiding the prediction of responsiveness to PARP inhibitors and has significantly improved patient survival. Yet, nearly half of HGSOC cases are homologous repair proficient (HRP) and enriched for Class I phosphoinositide 3-kinase (PI3Kα) alterations, a group that fails to achieve meaningful therapeutic benefit, including to PI3Kα inhibitors. This underscores the urgent need to better understand PI3Kα-regulated oncogenic pathways to inform mechanism-based strategies for improving patient outcomes. To address this gap in understanding, we developed a syngeneic PAM murine model of PI3Kα-hyperactivated HGSOC, which conditionally expresses PIK3CAH1047R under a doxycycline(Dox)-inducible promoter, allowing temporal control of PI3Kα activity for mechanistic interrogation of its role in HGSOC. Using this model, we have preliminary evidence that prolonged PI3Kα inactivation is associated with intra-tumoral triglyceride (TG) alterations and an enriched immunosuppressive M2-like phenotype in the TME. These observations align with the hallmark features of the HGSOC TME, which is enriched in lipids and dominated by macrophage infiltration. Thus, we hypothesize that PI3Kα-mediated regulation of TG metabolism promotes macrophage-mediated immunosuppression in HGSOC by establishing a lipid-enriched tumor microenvironment (TME) that favors M2-like TAM polarization. In Aim 1, we will define how PI3Kα pathway activity reprograms tumor lipid metabolism and drives macrophage-mediated immunosuppression in HGSOC. In Aim 2, we will determine whether disrupting PI3Kα-me",https://reporter.nih.gov/project-details/1F30CA318410-01,NIH RePORTER,grant,2026-09-01,Environmental & Water,NY,ROSWELL PARK CANCER INSTITUTE CORP,,,,Funding,General sample introduction,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-19T21:16:01+00:00,NIH RePORTER
Local Neoadjuvant Immunotherapy to Reduce Recurrence in Resectable Oral Cancers,"Project Summary/Abstract The objective of this project is to develop a sustained-release MultiDomain Peptide (MDP) hydrogel formulation of an iNOS inhibitor L-NIL and the STING-agonist CDN to be used in combination with an immune checkpoint inhibitor monoclonal antibody to enhance immune priming in the neoadjuvant setting to control residual disease following tumor resection and lead to reduced recurrence. Head and neck cancer (HNSCC) is an ideal target for this approach as these cancers are known to be highly immunosuppressive. HNSCC is the sixth most common cancer globally and each year over 60,000 new cases of head and neck cancer will be diagnosed in the US alone and an estimated 12,230 people will die from the disease. Despite advances in surgery and radiotherapy, five-year survival rates for patients with HNSCC across all stages remain 40–50% for tumors caused by traditional carcinogens (HPV-negative). Therefore, there is an urgent need to improve treatment for patients with recurrent or metastatic squamous cell carcinoma of the head and neck. Biomaterials have recently sparked increased interest as platforms for cancer immunotherapy. Biomaterials allow for spatiotemporal control over payload delivery meaning diverse factors can be released in a controlled manner within a specific volume, reducing off-target toxicity while enabling dose-sparing. Our self-assembling nanofibrous peptide-based hydrogels that we call MultiDomain Peptides (MDPs) are at the forefront of this field. Encouraged by the inherent ability of L-NIL-MDP hydrogels to inhibit iNOS both in vitro and in vivo, we have begun to assess these hydrogels in combination with a STING-agonist CDN as a 2nd-generation biomaterial platform for combination immunotherapies called “SynerGel”. Proof of concept studies conducted by Dr. Hartgerink, and his colleagues have demonstrated that SynerGels loaded with a clinically relevant immunotherapy can render immunologically refractory tumors sensitive to immune-m",https://reporter.nih.gov/project-details/1R43CA302284-01A1,NIH RePORTER,grant,2026-09-01,Clinical & Life Science,TX,TIBURON BIO INC.,,,,Funding,General sample introduction,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Mechanisms of Metal Receptors Controlling Inorganic Phenotypes,"PROJECT SUMMARY There is a growing need in the biomedical research community to understand the fundamental roles and mechanisms that regulate inorganic chemistry involved in cellular physiology. While many of the d-block metals have been labeled as ‘trace elements,’ from a cellular point of view this is a misnomer: the intracellular concentrations of zinc and iron are routinely maintained at much higher levels (i.e., 0.6 mM). These insights, as well as the emerging literature linking metal physiology to many human disease states, underscore the importance of establishing the fundamental principles, general pathways, and macromolecular mechanisms employed to manage the large numbers of metal ions required for optimal health of a cell. The PI’s lab has developed innovations to enable the discovery of novel pathways and principles. This involves mechanistic and structural characterization of metal receptors that switch on and off genes or the activity of cell cycle regulatory proteins in a metal dependent manner. One function of these metalloregulatory proteins is to control the activity of cellular machinery that maintains metal concentrations within narrow ranges. The goals of this proposal are to: a) determine how zinc regulons are controlled by metalloregulatory switching events through newly discovered protein-RNA interactions; b) establish mechanisms for how copper, zinc, and mercury sensing metalloregulatory switches control the topology of DNA within an RNA polymerase promoter complex, and then applying these insights to the development of new types of metal ion sensors; and c) develop quantitative metallomic methods that enable researchers across the biomedical research continuum to address the question of how quantitative inorganic phenotypes vary across cells involved in commensal or pathophysiological interactions with the human host. A second goal of the proposed study tests the hypothesis that regulatory zinc fluxes exert instructive control over the mamm",https://reporter.nih.gov/project-details/1R35GM163921-01,NIH RePORTER,grant,2026-09-01,Research & Academia,MI,HENRY FORD HEALTH + MICHIGAN STATE UNIVERSITY HEALTH SCIENCES,,,,Funding,General sample introduction,0.88,0.45,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Metabolic perturbations induced by cancer-derived large oncosomes in the tumor microenvironment,"Extracellular vesicles (EVs) are membrane-bound particles that mediate intercellular communication by transferring bioactive molecules. While exosomes (Exo) have been the main focus of EV research, recent studies, including ours, highlight the importance of ectosomes, which bud directly from the plasma membrane. We were the first to identify large oncosomes (LO), a distinct population of large ectosomes (1–10 μm) shed by biologically aggressive prostate cancer (PC) cells during amoeboid migration. LO abundance in circulation correlates with PC progression and, compared to Exo, LO are more potent drivers of tumor-promoting effects. Published and unpublished large-scale analyses indicate that LO contain significantly higher levels of mitochondrial transcripts, proteins, and metabolites compared to Exo from the same source. Single-LO-RNA- Seq (sLO-RNA-Seq) confirmed the enrichment of mitochondrial transcripts observed by bulk analysis of these vesicles. MS Metabolomic identified bioactive metabolites in LO whose function in the tumor microenvironment (TME) because of LO uptake has never been investigated. These include intermediates from the Krebs cycle and glycolysis, such as citrate, glucose, and lactate. We hypothesize that LO-mediated transfer of mitochondrial oncometabolites alters fibroblast metabolism, promoting PC progression. Furthermore, we anticipate ancestry- related differences in LO metabolite content, which may underlie observed disparities in PC biology and inform patient stratification through plasma-based LO profiling. We will investigate our hypotheses using a number of rigorous in vitro approaches, gold standard methods for EV isolation and characterization in two specific aims. Aim 1: Determine the metabolic response of prostate fibroblasts to LO from PC cells derived from White and Black men. Aim 2: Determine if the LO metabolic cargo in PC patient blood samples is indicative of poor outcome. This research will investigate in a rigorous and system",https://reporter.nih.gov/project-details/1R21CA313517-01,NIH RePORTER,grant,2026-09-01,Environmental & Water,CA,CEDARS-SINAI MEDICAL CENTER,,,,Funding,Nebulizers,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Metal Ions in Longgu (Fossilized Bone) as a Natural Synergistic Network for Multi-Target Therapy in Psychiatric Disorders.,"Longgu (fossilized bone), a mineral medicine in traditional Chinese medicine, has been used for centuries to treat symptoms resembling modern anxiety and insomnia. This review evaluates the hypothesis that Longgu's therapeutic effects arise from a synergistic network of its constituent metal ions. We synthesized evidence from chemical analyses, pharmacological studies of Ca, Mg, Zn, Fe, Cu, and Mn, and clinical trials of Longgu-containing formulations. The metal ions form an integrated network exhibiting three emergent properties. First, ionostatic balance is achieved through Ca/Mg-mediated regulation of neuronal excitability. Second, cross-pathway synergy occurs where zinc concurrently modulates neurotransmission and promotes neuroplasticity via BDNF. Third, systemic integration involves zinc and manganese co-regulating the gut-brain axis. Clinical studies demonstrate that Longgu-containing formulations improve outcomes in depression, anxiety, and insomnia, particularly for comorbid conditions, and show synergistic effects when combined with conventional antidepressants. This network pharmacology framework repositions Longgu as a model for developing multi-target therapeutics, offering a strategy to overcome limitations of single-target psychiatric drugs.",https://doi.org/10.1002/cbdv.71623,Europe PMC,journal,2026-09-01,Pharma & Biopharma,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,10.1002/cbdv.71623,,,2026-09-18T13:26:25+00:00,2026-09-24T21:56:24+00:00,Europe PMC
Metal Ions in Longgu (Fossilized Bone) as a Natural Synergistic Network for Multi-Target Therapy in Psychiatric Disorders.,Chem Biodivers,https://europepmc.org/article/MED/42695497,Europe PMC,journal,2026-09-01,General ICP-MS,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,,,
Multi-Omic Mass Spectrometry Imaging of Inflammatory Disease Biomarkers,"Project Summary The molecular classes of prostaglandins, proteins, and metals are interconnected in biological system, driving fundamental biological processes like inflammation, cell signaling, and disease development. Our understanding of inflammatory processes is limited, in part, because of a lack of multi-omic spatial biology approaches to visualize these molecular classes directly in tissues. Standard matrix-assisted laser desorption/ionization (MALDI) mass spectrometry imaging (MSI) approaches are not able to detect prostaglandins because of the poor ionization efficiency of neutral ketones such as prostaglandins. Multi-omic MSI approaches to visualize prostaglandins, proteins, and metals from the same tissue section are also not yet available. To address these limitations, I recently developed new on-tissue chemical derivatization (OTCD) protocols using Girard's reagents for prostaglandin visualization in mouse kidney and liver tissues. I integrated on-tissue tryptic digestion (OTTD) with OTCD to enable simultaneous detection of proteins and prostaglandins from identical tissue sections. The main technical challenges for multi-omic MALDI MSI are a lack of (1) sequential tissue imaging workflows to acquire prostaglandin, protein, and metallomic data with spatial co-registration from a single tissue section, and (2) computational pipelines for accurate quantification and spatial correlation of these diverse molecular classes. To address these challenges, I propose to develop (1) an optimized Multi-Omic Mass Spectrometry Imaging (MOMSI) platform that integrates OTTD-OTCD protocols with MALDI MSI and laser ablation inductively coupled plasma (LA-ICP) MSI, and (2) computational frameworks that include molecular probabilistic mapping for improved quantification, analysis, and visualization of multi-omic datasets. MOMSI data will contain tissue maps of prostaglandins, tryptic peptides, and metal cofactors, providing spatial biology information complementary to conv",https://reporter.nih.gov/project-details/1K99GM166955-01,NIH RePORTER,grant,2026-09-01,Clinical & Life Science,MD,JOHNS HOPKINS UNIVERSITY,,,,Funding,Torches & injectors,0.88,0.85,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Multiple Organ Dysfunction Syndrome in Children with Severe Malaria,"Malaria is increasingly relevant to United States public health with approximately 2,000 cases diagnosed annually among travelers, humanitarian workers, and military personnel returning from endemic regions. Worldwide, malaria remains one of the leading infectious causes of death in children. Multiple organ dysfunction syndrome (MODS), defined as the failure of two or more organ systems, is a major contributor to mortality across pediatric critical illness including severe malaria. However, malaria-associated MODS remains poorly characterized, clinically meaningful phenotypes have not been identified, and the mechanisms driving organ dysfunction and mortality remain poorly understood. We have identified MODS in >90% of Malawian children with cerebral malaria (CM) and 38% of Congolese children with severe malarial anemia (SMA), the two most common manifestations of severe disease. Currently, all children with severe malaria are treated the same, which may be contributing to stagnant mortality rates. We hypothesize that, like other critical illnesses, severe malaria is characterized by distinct MODS phenotypes associated with unique risk profiles and therapeutic responses. We also hypothesize that children with severe malaria and MODS will have distinct inflammatory profiles and evidence of mitochondrial dysfunction. We will utilize our previously established research teams across three African countries for this work. We will use vital signs, point-of-care testing, and basic laboratory values from children admitted with CM or SMA to identify MODS using a validated organ dysfunction scoring system. We will obtain plasma samples to measure comprehensive cytokine levels via high-sensitivity Luminex/MagPlex. Mitochondrial function, mitochondrial mass, and production of reactive oxygen species will be measured using the Mito Stress Test, Glycolytic Rate kits, and flow cytometry. Healthy children and children with asymptomatic malaria will serve as the control groups. Befo",https://reporter.nih.gov/project-details/1K23AI202745-01,NIH RePORTER,grant,2026-09-01,Clinical & Life Science,OH,RESEARCH INST NATIONWIDE CHILDREN'S HOSP,,,,Funding,Interface cones,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Pharmacology and Immunopathology,"ABSTRACT The Pharmacology and Immunopathology Shared Resource Core will support the Projects and the Clinical Core of the Tri-I TBRU Consortium by providing: (i) standardized high-dimensional immunophenotyping of mouse and human samples, including data analysis, dimensionality reduction, and generation of multi-analyte profiling datasets from mouse and human plasma; and (ii) drug quantification in plasma and stool to identify immunologic and pharmacokinetic determinants of post-treatment persistent infection (PTPI) and treatment failure. High-dimensional immunophenotyping and multi-analyte profiling: A substantial subset of patients who appear clinically cured of tuberculosis (TB) exhibit persistent or worsening lesions on PET–CT imaging, accompanied by detectable Mtb mRNA in sputum and bronchoalveolar lavage samples for up to one year following completion of standard 6-month therapy. These findings suggest that even apparently curative TB treatment may fail to eradicate all Mtb, highlighting the critical role of host immunity in maintaining a disease-free state. The Clinical Core has enrolled 210 cavitary TB patients at high risk for treatment failure and recurrence. Biobanked samples collected throughout therapy and follow-up provide a unique opportunity to correlate real-world clinical outcomes with specific immunologic and pharmacokinetic profiles, and to further characterize these relationships in preclinical models. To model PTPI observed in humans, Project 3 has developed a mouse model of paucibacillary TB, that was established in our core. We will perform high-dimensional immunophenotyping of T and B cells from longitudinal PBMC of cavitary TB patients and from mice with paucibacillary TB. Matched human and mouse plasma will undergo multiplex profiling to simultaneously quantify up to 115 analytes, including cytokines, chemokines, signaling molecules, and markers of tissue damage, metabolism, and inflammation (Clinical Core, Project 3). Up to three candidate",https://reporter.nih.gov/project-details/2P01AI202868-06,NIH RePORTER,grant,2026-09-01,Pharma & Biopharma,NY,WEILL MEDICAL COLL OF CORNELL UNIV,,,,Funding,Torches & injectors,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-19T21:16:01+00:00,NIH RePORTER
Procedural Challenges in the Analysis of Toxic Metals in Electronic Cannabinoid Delivery System Aerosols Produced for Vaping Cannabinoids,,https://europepmc.org/article/PMC/PMC13588543,Europe PMC,journal,2026-09-01,General ICP-MS,Global,,,,,Research activity,Nebulizers,0.88,0.15,0.26,,,,2026-09-19T21:16:00+00:00,2026-09-20T21:10:14+00:00,Europe PMC
Procedural Challenges in the Analysis of Toxic Metals in Electronic Cannabinoid Delivery System Aerosols Produced for Vaping Cannabinoids.,"Various methods have been used in successful and unsuccessful attempts to collect aerosols from electronic cigarettes and cannabis vaping systems over the last ten years for the purpose of assessing the possibility for potentially harmful exposures. Development of an appropriate trapping method for the analysis of metals in aerosols is one of the more challenging tasks for inorganic analytical chemists. Concentrations of many potentially harmful metal constituents of the aerosols generated by these devices are relatively low (μg/g range), so analysts must control environmental contamination of metals in trapped aerosol from the collection devices and ancillary materials used during sample preparation. The issue of contamination makes the use of materials commonly used to trap samples for organic constituents inappropriate for accurate and reliable measurement of metal constituents. In the search for appropriate trapping materials and methods, several approaches have failed because of other problems such as resistance to airflow that is necessary to activate the devices and form an aerosol. This white paper will review selected approaches to trapping aerosols for analysis of metal constituents with appropriate materials and identify problems that have been solved or that remain to be solved before the development of an ideal high-throughput method for aerosol metals analysis. Note: The incentive for this study came out of the Vape Device Safety and Testing Work Group, which is an initiative of the ASTM D37.08, Subcommittee on Personal/Household-Use Cannabis Devices and Appliances.",https://doi.org/10.1520/jte20250320,Europe PMC,journal,2026-09-01,Environmental & Water,Global,,,,,Research activity,Nebulizers,0.88,0.15,0.26,10.1520/jte20250320,,,2026-09-22T21:46:03+00:00,2026-09-24T21:56:22+00:00,Europe PMC
Radiation-Triggered Chemokine-Secreting Probiotics for Boron Neutron Capture Therapy Based Radioimmunotherapy.,"An ideal radioimmunotherapy eradicates primary tumors and drives immune clearance of residual or metastatic tumor cells, but its clinical translation is severely limited by systemic immune toxicity and the immunosuppressive tumor microenvironment (TME). Here, we constructed engineered Escherichia coli Nissle 1917 with a tannic acid-mediated boronophenylalanine coating and a radiation-responsive genetic circuit, enabling TME-responsive boron delivery for boron neutron capture therapy (BNCT). BNCT-mediated selective tumor killing spared intratumoral probiotics, whose integrated genetic circuit was triggered by the low-level incidental radiation generated during the BNCT process, including γ-rays, to drive CXCL10 production, forming a feedback loop to remodel the TME. This strategy achieved robust tumor eradication, inhibited distal tumor growth and post-surgical metastasis in murine models, pioneering a BNCT-based radioimmunotherapy modality.",https://doi.org/10.1002/advs.77542,Europe PMC,journal,2026-09-01,Environmental & Water,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,10.1002/advs.77542,,,2026-09-18T13:26:10+00:00,2026-09-24T21:56:23+00:00,Europe PMC
Radiation-Triggered Chemokine-Secreting Probiotics for Boron Neutron Capture Therapy Based Radioimmunotherapy.,Adv Sci (Weinh),https://europepmc.org/article/MED/42681801,Europe PMC,journal,2026-09-01,General ICP-MS,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,,,
Regulation of Selenium Metabolism and Selenoprotein Synthesis,"PROJECT SUMMARY Selenium is an essential micronutrient that functions through its incorporation into selenoproteins, a unique family of proteins containing the amino acid selenocysteine (Sec). These proteins maintain redox balance, detoxify reactive oxygen species, regulate metabolism, and protect cells under stress. Key selenoproteins such as glutathione peroxidases and thioredoxin reductases provide potent antioxidant defense, and disruption of selenium metabolism has been linked to cancer, cardiovascular disease, diabetes, thyroid disorders, neurodegeneration, and autoimmune conditions. Despite decades of study, fundamental questions about selenium metabolism remain unanswered. Clinical trials of selenium supplementation have yielded inconclusive results, suggesting that outcomes may depend on the chemical form of selenium provided, its delivery to specific tissues, or the presence or absence of transporters and regulatory factors. How distinct dietary forms of selenium are absorbed and distributed remains unclear. Likewise, it is not understood how tissues prioritize selenium use under limiting conditions, or how the hierarchy of selenoprotein synthesis is dynamically regulated during oxidative stress. Addressing these questions requires integrated in vivo and functional genomic approaches that extend beyond traditional cell culture systems. Our preliminary studies reveal that oxidative stress activates the KEAP1/NRF2 pathway to enhance selenium uptake and that tissues and microenvironments exhibit distinct selenium profiles not reflected in standard culture conditions. Building on these insights, we will use animal models combined with advanced elemental analysis (ICP-MS and laser ablation ICP-MS) to generate a blueprint of selenium absorption, systemic distribution, and tissue-level preservation. Interstitial fluid profiling will complement these approaches by defining how dietary selenium influences the microenvironmental selenium pool. In parallel, to identi",https://reporter.nih.gov/project-details/1R35GM165628-01,NIH RePORTER,grant,2026-09-01,Environmental & Water,FL,H. LEE MOFFITT CANCER CTR & RES INST,,,,Funding,Nebulizers,0.88,0.85,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Regulation of liver regeneration by hepatocyte-derived extracellular vesicles,"Abstract Text The liver exhibits a remarkable regenerative capacity following injury, a process predominantly mediated by hepatocyte proliferation. While cytokines and growth factors are known to play key roles in initiating and sustaining this response, the molecular mechanisms that regulate the precise timing of hepatocyte cell cycle entry and exit, thus governing the accurate restoration of liver mass, remain unknown. Emerging evidence suggests that microRNAs (miRNAs) play a key role in coordinating liver regeneration through precise post-transcriptional regulation of gene expression. Our recently published findings demonstrate that HD-EVs and their associated miRNAs contribute to a negative feedback mechanism that regulates hepatocyte proliferation during liver regeneration. Specifically, we identified miRNA-26a, miRNA-30a, and miRNA-33 as key regulators exhibiting inhibitory liver cell proliferation (ILCP) activity. This project aims to define the complete repertoire of ILCP-active miRNAs carried by HD-EVs, identify their mRNA targets and associated signaling pathways, and elucidate their mechanistic role in regulating liver regeneration. Using a rodent partial hepatectomy (PHx) model, we will (1) characterize EV populations and their dynamic changes during regeneration, (2) perform next-generation sequencing to profile miRNAs in HD-EVs and liver tissue, (3) validate ILCP activity in vitro and in vivo, and (4) construct and experimentally confirm miRNA/mRNA/pathway interaction networks. This comprehensive approach will provide new insights into the molecular regulation of liver regeneration and may uncover novel therapeutic targets for liver diseases characterized by regenerative dysfunction.",https://reporter.nih.gov/project-details/1R01DK142985-01A1,NIH RePORTER,grant,2026-09-01,Environmental & Water,VA,VIRGINIA COMMONWEALTH UNIVERSITY,,,,Funding,General sample introduction,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Regulation of type I interferon signaling by A20 (TNFAIP3) in autoimmune and autoinflammatory disease,"ABSTRACT Mutations in the gene TNFAIP3, which encodes the ubiquitin-editing enzyme A20, underlie a spectrum of inflammatory diseases. For example, genome-wide association studies revealed that single nucleotide polymorphisms in TNFAIP3 confer a two-fold increased risk of developing systemic lupus erythematosus and rheumatoid arthritis. Furthermore, individuals born with loss-of-function TNFAIP3 variants develop Haploinsufficiency of A20 (HA20), a systemic disease characterized by autoinflammation, autoimmunity, lymphoproliferation, and immunodeficiency. This phenotypic heterogeneity is due to A20’s multiple known functions. A20 is a negative regulator of signaling molecules in the NF-kB and NLRP3 inflammasome signaling pathways, and its functional domains have differential impacts on whether signaling molecules are degraded or stabilized in the cytosol. A20 can remove ubiquitin tags to inactivate signaling scaffolds or add ubiquitin tags to mark a protein for proteasomal degradation. Although therapies targeting A20-regulated pathways (i.e., TNF/NF-kB and IL-1b/NLRP3 blockade) show efficacy in some HA20 patients, many exhibit partial or no response. Recently, our group discovered that HA20 patients develop a Type I interferon (IFN-I) signature using a validated IFN gene score, which quantifies the constitutive induction of IFN-stimulated genes (ISGs). Given A20’s pleiotropic roles, we questioned if IFN-I is a novel pathway regulated by A20 independently of NF-kB/inflammasome signaling – a mechanism that could explain treatment refractory disease and offer new therapeutic targets. In preliminary studies, we found that the IFN-I signaling molecules STAT1, TBK1, and IRF7 are direct binding targets of A20, and that monocytes may be the primary responders to enhanced IFN-I signaling in A20 deficiency. However, we do not know whether this HA20-linked ISG overexpression reflects a causal mechanism driven by mutant A20 or a downstream byproduct of systemic inflammation. The",https://reporter.nih.gov/project-details/1F30AI200161-01,NIH RePORTER,grant,2026-09-01,Pharma & Biopharma,PA,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,,,Funding,General sample introduction,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-19T21:16:01+00:00,NIH RePORTER
Resolution Phase Neutrophils After Tissue Injury,"Abstract Acute Respiratory Distress Syndrome (ARDS) is a leading cause of respiratory failure with excess morbidity and mortality. There is an urgent and unmet clinical need to better understand the immunological events in ARDS to inform much-needed novel therapies. Early in ARDS, recruited neutrophils are the most prominent leukocyte in alveoli, but these vital cells can cause collateral tissue injury when exuberantly activated. Notably, neutropenic patients can develop ARDS, and recent evidence supports previously unanticipated additional roles for neutrophils in the later resolution of inflammatory responses. The resolution of inflammation is an active process facilitated in part by specialized pro-resolving mediators (SPMs) that carry potent counter-regulatory signals for neutrophils and macrophages. Several SPMs are enzymatically produced by 15-lipoxygenase (15-LO) from dietary essential polyunsaturated fatty acids, and neutrophils can acquire 15-LO activity in tissue exudates. In work in progress with preclinical mouse models of self-limited acute lung injury (ALI), a distinct subset of neutrophils was identified that emerged in lung tissue during ALI resolution. These resolution-phase neutrophils had increased expression of several genes, including 15-LO, and were associated with recovery of lung macrophage numbers, and restitution of lung epithelial barrier integrity. In additional work in progress, 15-LO expressing neutrophils were identified in biospecimens collected from the respiratory tract of mechanically ventilated human ARDS patients, and their abundance correlated with improving oxygenation (as measured by PaO2/FiO2 ratio). Here, we propose to test the central hypothesis that: neutrophils are activated to express counter-regulatory mechanisms (e.g., 15-LO) in lung tissue following acute injury to promote proresolving actions and accelerate restitution of injured lung epithelium - protective mechanisms that are deficient in ARDS. Three specific aims ",https://reporter.nih.gov/project-details/1R01HL184333-01A1,NIH RePORTER,grant,2026-09-01,Food & Agriculture,MO,WASHINGTON UNIVERSITY,,,,Funding,General sample introduction,0.88,0.15,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-19T21:16:01+00:00,NIH RePORTER
Role of CASP8 and HRAS co-mutation in oral epithelium malignant transformation,"PROJECT SUMMARY/ABSTRACT Smoking-associated, HPV-negative oral squamous cell carcinoma (OSCC) is highly aggressive, with a five-year survival rate below 50% for advanced-stage patients. HRAS and CASP8 mutations frequently co-occur in OSCC, yet their functional roles in tumor development remain unstudied. This research aims to investigate the impact of HRAS/CASP8 co-mutations on oral epithelial malignant transformation using a tamoxifen-inducible, oral epithelium-specific knock-in mouse model. Through high-throughput Imaging Mass Cytometry, the study will characterize tumor-intrinsic proliferation, cell death resistance, and immune evasion mechanisms associated with these mutations. Specifically, Aim 1 will determine whether HRAS and CASP8 co-mutations are sufficient to drive spontaneous oral carcinogenesis and define the underlying mechanisms, whereas Aim 2 will test whether CASP8/HRAS co-mutations can serve as predictive markers for high-risk premalignant oral lesions by defining their emergence stage using amplicon NGS in a longitudinal cohort of patients with high- and low-risk lesions. Overall, this study aims to identify predictive biomarkers for early cancer detection and risk assessment, informing precision medicine approaches and guiding surgical and therapeutic strategies to improve patient outcomes.",https://reporter.nih.gov/project-details/1R03DE035544-01A1,NIH RePORTER,grant,2026-09-01,Clinical & Life Science,NY,STATE UNIVERSITY OF NEW YORK AT BUFFALO,,,,Funding,ICP-TOF / mass cytometry,0.88,0.85,0.67,,,,2026-09-18T13:26:20+00:00,2026-09-19T21:16:01+00:00,NIH RePORTER
Safety of Cannabis sativaL. extract as a novel food pursuant to Regulation (EU) 2015/2283,,https://europepmc.org/article/PMC/PMC13591333,Europe PMC,journal,2026-09-01,Food & Agriculture,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,2026-09-23T22:01:13+00:00,2026-09-24T21:56:22+00:00,Europe PMC
"Source-Independent Enrichment of Light Lanthanides: Microbial Mobilization, Selective Uptake, and Intracellular Storage.","Poorly soluble lanthanide minerals are a challenge for the sustainable extraction of lanthanides as key resources for the green energy transition and lanthanide-dependent microbial metabolism. Lanthanide-utilising bacteria are widespread in the environment. Their preference for light lanthanides requires differentiation mechanisms that enable downstream utilisation. Whether lanthanide discrimination occurs during access, mobilisation, uptake, or intracellular processing is mostly unknown and likely controlled by habitat and bioavailability. Using Beijerinckiaceae bacterium RH AL1 and combining transcriptomics, analytics, and electron microscopy, we studied microbial lanthanide mobilisation and uptake from different lanthanide minerals, an alloy, and pure lanthanide compounds. Strain AL1 is a facultative methylotroph that depends on light lanthanides for methanol oxidation and known for periplasmic lanthanide accumulation. We could show that strain AL1 grew with all tested lanthanide sources and selectively enriched light lanthanides independent of the source, lanthanide content, and the proportion of light lanthanides. Transcriptomics revealed that the source type significantly influenced gene expression. Lanthanide discrimination in Beijerinckiaceae bacterium RH AL1 is a multilayered process, likely rooted in the complementary action of chelation, uptake, and periplasmic storage. Strains that mobilise lanthanides and increase their bioavailability can transform mineral-bound lanthanides into shared resources for microbial communities, with implications for sustainable lanthanide use.",https://doi.org/10.1111/1462-2920.70413,Europe PMC,journal,2026-09-01,Environmental & Water,Global,,,,,Research activity,Nebulizers,0.88,0.15,0.26,10.1111/1462-2920.70413,,,2026-09-22T21:46:05+00:00,2026-09-24T21:56:24+00:00,Europe PMC
"Source‐Independent Enrichment of Light Lanthanides: Microbial Mobilization, Selective Uptake, and Intracellular Storage",,https://europepmc.org/article/PMC/PMC13583147,Europe PMC,journal,2026-09-01,General ICP-MS,Global,,,,,Research activity,Nebulizers,0.88,0.15,0.26,,,,2026-09-18T13:26:26+00:00,2026-09-21T22:25:02+00:00,Europe PMC
"Source‐Independent Enrichment of Light Lanthanides: Microbial Mobilization, Selective Uptake, and Intracellular Storage",Environ Microbiol,,Europe PMC,journal,2026-09-01,General ICP-MS,Global,,,,,Research activity,Nebulizers,0.88,0.15,0.26,,,,,,
